module,mode,frequency_hz,synchronous_component,quadrature_component,gain_linear,gain_db,phase_deg,status,phase_unwrapped_deg,plot_valid
power_path,D2I,93.753349,8.289900,13.430150,15.7826287745,23.9635868306,58.3146086389,ok,58.3146086389,1
power_path,D2I,98.134850,8.530550,14.022975,16.4138390133,24.3042033911,58.68673445,ok,58.68673445,1
power_path,D2I,102.721115,8.848100,14.694000,17.1523324831,24.6864637303,58.9454427179,ok,58.9454427179,1
power_path,D2I,107.521721,9.145200,15.339350,17.8586209283,25.0369583785,59.1969350161,ok,59.1969350161,1
power_path,D2I,112.546677,9.437300,16.014950,18.5887400001,25.3849990601,59.4899783538,ok,59.4899783538,1
power_path,D2I,117.806465,9.797200,16.784550,19.4346661032,25.7715416729,59.7277425426,ok,59.7277425426,1
power_path,D2I,123.312073,10.150250,17.473850,20.2079936878,26.1104639511,59.8484547222,ok,59.8484547222,1
power_path,D2I,129.074982,10.526850,18.230900,21.051847561,26.4658043316,59.997089135,ok,59.997089135,1
power_path,D2I,135.107208,10.994200,18.984750,21.9383947955,26.8240969525,59.9245711356,ok,59.9245711356,1
power_path,D2I,141.421356,11.489250,19.864850,22.9480964589,27.2149333341,59.9561635395,ok,59.9561635395,1
power_path,D2I,148.030594,12.049150,20.711200,23.9611314667,27.5901464397,59.8104495028,ok,59.8104495028,1
power_path,D2I,154.948700,12.655450,21.571650,25.0099279972,27.9622488282,59.6011102557,ok,59.6011102557,1
power_path,D2I,162.190125,13.160200,22.432350,26.0077140588,28.3020436335,59.6014851047,ok,59.6014851047,1
power_path,D2I,169.769958,13.896200,23.403300,27.2179871653,28.697120099,59.2993893911,ok,59.2993893911,1
power_path,D2I,177.704056,14.691550,24.429750,28.5070925642,29.0990585183,58.9781629838,ok,58.9781629838,1
power_path,D2I,186.008926,15.552950,25.442050,29.8193253094,29.489956258,58.5621866773,ok,58.5621866773,1
power_path,D2I,194.701935,16.541950,26.393750,31.1490954743,29.8689087976,57.9230896576,ok,57.9230896576,1
power_path,D2I,203.801193,17.584300,27.409600,32.5652234546,30.2550812509,57.3182856917,ok,57.3182856917,1
power_path,D2I,213.325699,18.502600,28.466750,33.9514662765,30.6171707017,56.9772467093,ok,56.9772467093,1
power_path,D2I,223.295334,19.638100,29.596650,35.5192435566,31.0092741631,56.4347546631,ok,56.4347546631,1
power_path,D2I,233.730896,20.972600,30.758050,37.2277798232,31.4173427339,55.7115941968,ok,55.7115941968,1
power_path,D2I,244.654144,22.545750,31.923000,39.0818215039,31.8394959375,54.768192995,ok,54.768192995,1
power_path,D2I,256.087891,24.472650,32.931550,41.029228404,32.261866994,53.3825975589,ok,53.3825975589,1
power_path,D2I,268.056000,26.583400,33.744900,42.9580659664,32.6608944114,51.7698321011,ok,51.7698321011,1
power_path,D2I,280.583405,29.344100,33.114850,44.2455590464,32.9173937364,48.4548476031,ok,48.4548476031,1
power_path,D2I,293.696289,31.459500,33.609200,46.0356216955,33.2618802505,46.8922147656,ok,46.8922147656,1
power_path,D2I,307.421967,32.347800,37.099500,49.2214695544,33.8430915168,48.9141722269,ok,48.9141722269,1
power_path,D2I,321.789124,34.986600,37.968700,51.6302659227,34.2580872379,47.3407028605,ok,47.3407028605,1
power_path,D2I,336.827728,37.867400,38.934600,54.3124576862,34.6979891089,45.7961006342,ok,45.7961006342,1
power_path,D2I,352.569153,41.800100,38.599300,56.8959956456,35.1016340343,42.7201877777,ok,42.7201877777,1
power_path,D2I,369.046234,43.754400,35.188100,56.148463033,34.986757454,38.8068863349,ok,38.8068863349,1
power_path,D2I,386.293365,44.496500,34.184900,56.1119051562,34.9811002893,37.5336469079,ok,37.5336469079,1
power_path,D2I,404.346527,45.525800,34.371400,57.0437691917,35.1241642798,37.0523404109,ok,37.0523404109,1
power_path,D2I,423.243378,47.227800,35.005700,58.7865981779,35.3855665893,36.5461984336,ok,36.5461984336,1
power_path,D2I,443.023376,49.540900,35.967800,61.2207759641,35.7379765983,35.9804877162,ok,35.9804877162,1
power_path,D2I,463.727753,52.455400,36.951600,64.163772736,36.1457978381,35.1623381916,ok,35.1623381916,1
power_path,D2I,485.399780,56.041200,37.811900,67.6044072458,36.5995001851,34.0081738185,ok,34.0081738185,1
power_path,D2I,508.084595,60.166700,38.428100,71.3915307197,37.072933877,32.5661198634,ok,32.5661198634,1
power_path,D2I,531.829590,64.942800,38.782200,75.641432487,37.5751948972,30.8445822682,ok,30.8445822682,1
power_path,D2I,556.684265,70.285800,38.726200,80.2484407829,38.0887320574,28.8539664452,ok,28.8539664452,1
power_path,D2I,582.700562,76.309800,37.879600,85.1941880189,38.6081993607,26.3994495979,ok,26.3994495979,1
power_path,D2I,609.932678,82.854300,36.299000,90.4569092413,39.1288348912,23.6585340713,ok,23.6585340713,1
power_path,D2I,638.437439,90.104300,33.716600,96.2059977031,39.664042956,20.5156097998,ok,20.5156097998,1
power_path,D2I,668.274414,97.718000,30.126000,102.256458965,40.1938149897,17.1342844505,ok,17.1342844505,1
power_path,D2I,699.505737,105.687500,24.971600,108.597552748,40.7164007702,13.2939072745,ok,13.2939072745,1
power_path,D2I,732.196655,113.659600,18.108400,115.093087641,41.2209848237,9.05235926056,ok,9.05235926056,1
power_path,D2I,766.415405,121.391800,9.277100,121.745774841,41.7090779612,4.37020853324,ok,4.37020853324,1
power_path,D2I,802.233276,128.512600,-1.510500,128.521476684,42.1795141372,-0.673407042443,ok,-0.673407042443,1
power_path,D2I,839.725159,134.455400,-14.587200,135.244375088,42.6223842306,-6.19185852227,ok,-6.19185852227,1
power_path,D2I,878.969116,138.549500,-30.078500,141.776867339,43.0321075215,-12.2485998827,ok,-12.2485998827,1
power_path,D2I,920.047119,138.062300,-48.398100,146.299606168,43.3048631405,-19.3182483807,ok,-19.3182483807,1
power_path,D2I,963.044922,133.143500,-65.781500,148.507229906,43.4349519461,-26.2923505273,ok,-26.2923505273,1
